I understand a little English	Jeg forstår litt Engelsk [sound:Jeg_forstår_litt_Engelsk.mp3]
yes, you are American	ja, du är amerikansk [sound:ja,_du_är_amerikansk.mp3]
excuse me, do you understand English?	undskyll, forstår du Engelsk? [sound:undskyll,_forstår_du_Engelsk.mp3]
hello (good day)	god dag [sound:god_dag.mp3]
how	hvordan [sound:hvordan.mp3]
you have it	du har det [sound:du_har_det.mp3]
it	det [sound:det.mp3]
you have	du har [sound:du_har.mp3]
how are you?	hvordan har du det? [sound:hvordan_har_du_det.mp3]
just fine, thanks	bare bra, takk [sound:bare_bra,_takk.mp3]
fine	bra [sound:bra.mp3]
just	bare [sound:bare.mp3]
I'm fine	Jeg har det bra [sound:Jeg_har_det_bra.mp3]
goodbye	har det bra [sound:har_det_bra.mp3]
I'm fine, thanks	Jeg har det bra, takk [sound:Jeg_har_det_bra,_takk.mp3]
yes, I understand	ja, jeg förstår [sound:ja,_jeg_förstår.mp3]
oh, you understand Norwegian	åh, du forstår Norsk [sound:åh,_du_forstår_Norsk.mp3]
yes, I understand Norwegian	ja, jeg förstår Norsk [sound:ja,_jeg_förstår_Norsk.mp3]
bad	verst [sound:verst.mp3]
so	så [sound:så.mp3]
so bad	så verst [sound:så_verst.mp3]
not so bad	ikke så verst [sound:ikke_så_verst.mp3]
yes, I understand English	ja, jeg förstår Engelsk [sound:ja,_jeg_förstår_Engelsk.mp3]
much	mye [sound:mye.mp3]
not so much	ikke så mye [sound:ikke_så_mye.mp3]
I don't understand so much	Jeg förstår ikke så mye [sound:Jeg_förstår_ikke_så_mye.mp3]
I don't understand so much Norwegian	Jeg förstår ikke så mye Norsk [sound:Jeg_förstår_ikke_så_mye_Norsk.mp3]
I don't understand so much English	Jeg förstår ikke så mye Engelsk [sound:Jeg_förstår_ikke_så_mye_Engelsk.mp3]
I'm just fine, thanks	Jeg har det bara bra, takk [sound:Jeg_har_det_bara_bra,_takk.mp3]
very	meget [sound:meget.mp3]
you understand very well	du förstår meget bra [sound:du_förstår_meget_bra.mp3]
