not so well	ikke så bra [sound:ikke_så_bra.mp3]
quite well	ganske bra [sound:ganske_bra.mp3]
quite	ganske [sound:ganske.mp3]
quite well, thanks	ganske bra, takk [sound:ganske_bra,_takk.mp3]
I'm quite well	Jeg har det ganske bra [sound:Jeg_har_det_ganske_bra.mp3]
very well	meget bra [sound:meget_bra.mp3]
I think	Jeg synes [sound:Jeg_synes.mp3]
I think you understand very well	Jeg synes du forstår meget bra [sound:Jeg_synes_du_forstår_meget_bra.mp3]
you understand quite well	du forstår ganske bra [sound:du_forstår_ganske_bra.mp3]
I am	Jeg er [sound:Jeg_er.mp3]
I'm American	Jeg er amerikansk [sound:Jeg_er_amerikansk.mp3]
I'm Norwegian	Jeg er norsk [sound:Jeg_er_norsk.mp3]
are you Norwegian?	er du norsk? [sound:er_du_norsk.mp3]
no, I'm American	nei, jeg er amerikansk [sound:nei,_jeg_er_amerikansk.mp3]
no, I am not American	nei, jeg er ikke amerikansk [sound:nei,_jeg_er_ikke_amerikansk.mp3]
I am not American	Jeg er ikke amerikansk [sound:Jeg_er_ikke_amerikansk.mp3]
and you?	og du? [sound:og_du.mp3]
I'm Norwegian, and you?	Jeg er norsk, og du? [sound:Jeg_er_norsk,_og_du.mp3]
you're not Norwegian	du er ikke norsk [sound:du_er_ikke_norsk.mp3]
but	men [sound:men.mp3]
I'm not Norwegian	Jeg er ikke norsk [sound:Jeg_er_ikke_norsk.mp3]
but I understand Norwegian	men jeg forstår norsk [sound:men_jeg_forstår_norsk.mp3]
just a little	bare litt [sound:bare_litt.mp3]
I think you understand quite well	Jeg synes du forstår ganske bra [sound:Jeg_synes_du_forstår_ganske_bra.mp3]
excuse me, are you American?	unnskyld, er du amerikansk? [sound:unnskyld,_er_du_amerikansk.mp3]
yes, I'm Norwegian	ja, jeg er norsk [sound:ja,_jeg_er_norsk.mp3]
yes, a little	ja, litt [sound:ja,_litt.mp3]
no, I'm American, and you?	nei, jeg er amerikansk, og du? [sound:nei,_jeg_er_amerikansk,_og_du.mp3]
but I understand a little English	men jeg forstår litt engelsk [sound:men_jeg_forstår_litt_engelsk.mp3]
are you well?	har du det bra? [sound:har_du_det_bra.mp3]
yes, thanks	ja, takk [sound:ja,_takk.mp3]
no, I'm not well	nei, jeg har det ikke bra [sound:nei,_jeg_har_det_ikke_bra.mp3]
not well	ikke bra [sound:ikke_bra.mp3]
yes, but I understand a little Norwegian	ja, men jeg forstår litt norsk [sound:ja,_men_jeg_forstår_litt_norsk.mp3]
but I understand a little Norwegian	men jeg forstår litt norsk [sound:men_jeg_forstår_litt_norsk.mp3]
no, I understand just a little	nei, jeg forstår bare litt [sound:nei,_jeg_forstår_bare_litt.mp3]
and I understand a little English	og jeg forstår litt engelsk [sound:og_jeg_forstår_litt_engelsk.mp3]
just fine thanks, and you?	bare bra takk, og du? [sound:bare_bra_takk,_og_du.mp3]
but not so much	men ikke så mye [sound:men_ikke_så_mye.mp3]
but I think you understand Norwegian very well	men jeg synes du forstår norsk meget bra [sound:men_jeg_synes_du_forstår_norsk_meget_bra.mp3]
I think you speak Norwegian very well	Jeg synes du snakker norsk meget bra [sound:Jeg_synes_du_snakker_norsk_meget_bra.mp3]
